Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.400000,5,264,1,0.737835,39,36,99,0,90
1.400000,5,210,1,0.464286,0,74,22,18,96
1.400000,5,217,1,0.484561,80,0,60,55,22
1.400000,5,517,1,0.495610,52,195,39,195,36
1.400000,5,256,1,0.393365,78,117,29,32,0
1.400000,5,177,1,0.439873,0,44,33,40,60
1.400000,5,58,1,0.486726,7,20,0,15,16
1.400000,5,114,1,0.390374,0,39,24,32,19
1.400000,5,841,1,0.402274,0,142,53,266,380
1.400000,5,232,1,0.558095,124,31,26,29,22
1.400000,5,568,1,0.390558,132,91,165,180,0
1.400000,5,403,1,0.594975,45,144,54,160,0
